País;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
China;25926;482400;2358;334867;642177;279956;455340;222866;499622;266086;126336;376828;363000;264116;404647
Chipre;0;0;0;0;0;0;0;0;0;0;480;1843;6785;4530;4458
Cingapura;4699;6110;5504;3317;5310;5779;3887;2774;13199;0;11616;19099;9316;0;0
Cocos (Keeling), Ilhas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
Colômbia;0;0;0;0;0;30;0;0;0;0;26273;1999;23780;21867;14068
Comores;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0
Congo;0;0;0;570;0;0;0;0;0;0;0;0;0;0;0
Coreia, Republica Sul;14366;0;0;0;0;0;0;0;20;0;109;194;433;100;257
Costa do Marfim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Costa Rica;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Croácia;0;0;0;0;0;0;0;0;0;0;0;0;123;0;484
Cuba;0;0;0;4899;0;0;43200;108864;69830;72229;5584;0;0;0;6
Curaçao;0;0;0;0;0;0;0;0;0;23011;43676;62067;65986;58993;66950
Dinamarca;15905;21780;69161;83057;23802;101915;16871;29306;8171;2829;0;306;1962;504;6
Dominica;0;0;0;0;0;0;0;0;0;0;0;0;0;634;2223
El Salvador;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
Emirados Arabes Unidos;12298;4032;3206;6594;3300;0;3381;3740;2760;3302;1762;2202;2279;10522;85465
Equador;0;0;0;0;0;0;0;0;0;0;0;3;3824;0;210
Eslovaca, Republica;16063;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Espanha;6834;4050;0;24618;0;3748940;0;0;0;0;22631;1353;126;0;0
Estados Unidos;804607;660066;478630;1030254;303986;786556;494216;524109;687411;1523699;512519;616274;610793;203554;447893
Estônia;9730;10802;40778;5336;19384;0;0;0;4800;0;0;0;0;0;0
Filipinas;0;0;0;0;0;0;0;0;0;0;16205;2486;1548;10368;790
Finlândia;0;0;0;50394;67959;283114;94962;0;41003;0;0;0;0;0;0
França;27500;0;18904;0;185791;42256;167807;4749;30055;21654;48677;67072;57144;23742;25008
Gana;25642;0;0;0;0;0;0;0;0;0;13502;10010;22027;19196;49304
Gibraltar;0;0;0;0;0;0;0;0;0;0;0;93;2860;0;0
Granada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7914
Grécia;0;0;0;0;0;0;0;0;0;0;730;1994;18092;3014;2426
Guatemala;0;20;0;0;0;0;0;0;0;0;0;8719;0;29100;5350
Guiana;0;0;3654;0;0;0;0;0;0;0;0;1311;2577;6525;5823
Guiana Francesa;0;0;0;0;0;0;0;0;0;0;0;0;0;32;18
Guine Bissau;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0
Guine Equatorial;1417;272;1015;1979;2530;5336;11983;0;0;30563;26808;0;0;0;0
Haiti;20;5863;3750;0;0;0;0;0;0;0;144425;129803;471152;831181;741014
Honduras;580;30;0;0;0;0;0;0;0;0;0;0;0;0;0
Hong Kong;13460;27188;0;7975;7653;61224;63534;7837;86199;8180;9029;42020;41987;39390;38218
Hungria;0;0;4103;0;0;0;0;0;0;0;0;0;0;583;0
Ilha de Man;0;0;0;0;0;0;0;0;0;0;0;175;121;445;641
Ilhas Virgens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
India;0;0;0;0;0;0;0;0;0;0;0;273;10;86;1021
Indonésia;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
Irã;0;0;0;0;0;0;0;0;0;0;0;0;35;287;90
Iraque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Irlanda;0;0;42795;35690;0;0;0;0;0;0;25767;0;257;208;0
Itália;0;5251;4828;80298;5622;11967;2492;0;3465;2248;13260;1625;376;3715;6151
Jamaica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Japão;178333;283436;74628;144662;116961;429088;401774;87853;90954;92886;112342;99642;92674;90275;82208
Jordânia;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0
Letônia;0;0;0;0;0;0;0;0;0;3723;0;0;0;0;0
Líbano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Libéria;0;0;0;0;0;0;0;0;0;0;3100;20068;17624;23060;34815
Luxemburgo;42341;42124;32549;65592;16547;29474;52400;17358;21426;21947;11053;11211;5110;0;802
